STATION_ID;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
4003;52.0;52.3203;8.4768;19770601;20061231;Preußisch-Oldendorf
2566;443.0;51.1176;7.57;19351201;20130228;Kierspe-Höckinghausen
2806;51.0;52.1558;7.7213;19520901;20061231;Ladbergen-Overbeck
1506;121.0;51.4693;7.733;19670719;20041231;Fröndenberg
3101;58.0;51.7694;7.4128;19340101;19950930;Lüdinghausen
2810;150.0;51.9446;8.7749;19370201;;Lage, Kreis Lippe-Hörste
2497;505.0;50.5014;6.5264;18970101;;Kall-Sistig
2652;42.0;51.0833;6.7333;19490401;19660406;Knechtsteden
2697;170.0;50.7;7.2333;19820402;20070630;Königswinter-Heisterbacherrott
390;610.0;50.9837;8.3683;19861126;;Berleburg, Bad-Stünzel
556;123.0;51.4833;7.25;19680901;19801231;Bochum-Altenbochum
5064;37.0;51.2897;6.4437;20041201;;Tönisvorst
2744;305.0;50.9837;7.9672;18920601;;Kreuztal-Eichen
4240;440.0;50.6407;6.2058;19500701;19920930;Roetgen
3541;185.0;50.8956;7.3081;19620801;19920229;Neunkirchen-Seelscheid-Meisenbach
5247;24.0;51.5751;6.6276;19660401;20050630;Voerde-Mehrum
3854;110.0;50.9601;7.2367;19960101;20071231;Overath-Immekeppel
5537;215.0;50.9534;7.5459;19091101;20011231;Wiehl
533;400.0;50.3843;6.7368;19140701;;Blankenheim-Ahrhütte
3098;387.0;51.2452;7.6425;19940101;;Lüdenscheid
3859;96.0;51.7498;8.6451;19810801;19890131;Paderborn-Sande
5266;220.0;50.623;7.1373;19981208;20050630;Wachtberg-Berkum
3295;46.0;52.3047;8.838;19800101;20141231;Minden-Hahlen
7106;105.0;52.0714;8.4565;20060401;;Bielefeld-Deppendorf
1597;34.0;51.5333;7.05;19790601;19871231;Gelsenkirchen-Heßler
1238;144.0;50.9884;7.425;19491001;19961020;Engelskirchen
5213;63.0;52.0105;8.1597;18901001;;Versmold
4741;154.0;51.1402;7.093;18920601;;Solingen-Hohenscheid
2968;43.0;50.9894;6.9777;19020101;;Köln-Stammheim
5337;73.0;51.6262;7.3934;19840518;20071231;Waltrop
2474;91.0;50.9104;6.4093;19760101;20081231;Jülich (Forsch.-Anlage)
2741;157.0;50.7249;6.4579;19890101;20070630;Kreuzau-Schlagstein
3171;240.0;51.8614;9.272;19891201;19960731;Marienmünster-Langenkamp
4855;144.0;51.8833;9.1;19800926;20061231;Steinheim, Kreis Höxter
2591;55.0;52.1967;8.6609;19850101;19980630;Kirchlengern
5292;295.0;50.8713;7.6153;19720615;20061231;Waldbröl
3952;230.0;51.2086;7.8727;18910701;20181231;Plettenberg
2147;77.0;52.1264;8.6865;19280701;20071231;Herford
5222;60.0;51.2545;6.3721;19460601;20061231;Viersen
1241;128.0;52.15;8.5226;19490101;;Enger
934;88.0;51.7835;8.5658;20031209;;Delbrück
6197;258.0;51.8664;9.2709;20001011;;Lügde-Paenbruch
1232;43.0;52.1703;7.5637;19020101;;Emsdetten
4154;345.0;51.18;7.2505;18820101;;Remscheid-Lennep
4708;435.0;50.6466;6.3124;19360101;;Simmerath (Kalltalsperre)
4810;60.0;51.9971;6.9707;18970501;;Stadtlohn
1967;406.0;51.1904;7.4325;18910701;19850630;Halver-Schwenke
744;61.0;50.8274;6.9135;19401125;19920630;Brühl
1995;59.0;51.6865;7.8202;19840101;20101231;Hamm (Schleuse)
2665;45.0;50.9615;6.9712;19360101;19841231;Köln-Botanischer Garten
38;52.0;52.09;7.0095;18910801;20061231;Ahaus (Wieselweg)
4488;443.0;51.2127;8.2672;19061101;;Schmallenberg-Sellinghausen
4487;364.0;51.1333;8.2667;19050508;19941231;Schmallenberg-Fleckenberg
4462;370.0;50.5749;6.4901;19800131;20060228;Schleiden-Gemünd
4889;182.0;50.7757;6.3236;19710201;20010531;Stolberg-Schevenhütte
3030;71.0;51.6576;8.2355;19460401;20061231;Lippstadt-Benninghausen
1024;36.0;51.1158;6.851;18920501;;Dormagen-Zons
2999;55.0;52.1211;7.8699;19361201;;Lienen-Kattenvenne
3408;348.0;50.5419;6.9024;19380401;20061231;Münstereifel, Bad-Houverath
4849;64.0;52.1173;7.3411;18910801;;Steinfurt-Burgsteinfurt
2976;307.0;51.6153;8.9009;18910901;;Lichtenau in Westfalen
2970;140.0;51.0933;7.0706;18970501;;Leverkusen-Pattscheid
4900;45.0;51.4406;6.2672;19491201;20061231;Straelen
4063;41.0;52.4461;8.5906;18900801;;Rahden-Kleinendorf
4961;340.0;51.354;7.9574;19400701;20061231;Sundern-Langscheid
638;51.0;51.2833;6.2;19310101;19720229;Bracht
3468;53.0;51.3079;6.303;19510101;20041231;Nettetal-Lobberich
4;243.0;50.7683;6.1207;19510101;19791101;Aachen-Brand
3795;49.0;51.7066;7.3564;19010601;;Olfen
557;99.0;51.4667;7.3167;19620701;19801231;Bochum-Langendreer
3767;205.0;51.9648;8.6588;19960101;;Oerlinghausen (Nord)
3439;216.0;51.9667;9.1;19540301;19710721;Nassengrund
614;240.0;51.5709;9.312;19500501;20071231;Borgentreich-Bühne
1891;73.0;51.8771;8.3577;18350201;;Rheda-Wiedenbrück-Lintel
4959;310.0;51.2826;7.9497;19800201;19971031;Sundern-Allendorf
4960;360.0;51.334;8.0938;19880101;20061231;Sundern-Hellefeld
1673;16.0;51.6849;6.1053;19370301;;Goch-Asperden
613;206.0;51.5677;9.2324;19270101;;Borgentreich
2803;458.0;50.9501;8.2955;18920101;20061231;Laasphe, Bad-Rückershausen
720;438.0;51.4259;8.5337;19871216;19980619;Brilon-Scharfenberg
