name;east;north;up;value;dist_1;value_1;dist_2;value_2;dist_3;value_3;dist_4;value_4;dist_5;value_5;dist_6;value_6;dist_7;value_7;dist_8;value_8;dist_9;value_9;dist_10;value_10;dist_11;value_11;dist_12;value_12;dist_13;value_13;dist_14;value_14;dist_15;value_15;dist_16;value_16;dist_17;value_17;dist_18;value_18;dist_19;value_19;dist_20;value_20;dist_21;value_21;dist_22;value_22;dist_23;value_23;dist_24;value_24;dist_25;value_25;dist_26;value_26;dist_27;value_27;dist_28;value_28;dist_29;value_29;dist_30;value_30;dist_31;value_31;dist_32;value_32;dist_33;value_33;dist_34;value_34;dist_35;value_35;dist_36;value_36;dist_37;value_37;dist_38;value_38;dist_39;value_39;dist_40;value_40;dist_41;value_41;dist_42;value_42;dist_43;value_43;dist_44;value_44;dist_45;value_45;dist_46;value_46;dist_47;value_47;dist_48;value_48;dist_49;value_49;dist_50;value_50;unix;doy
Ahaus;32358912.46;5772092.08;46;14.1;19996.57606308218;20.9;23510.258261323183;24.6;27701.090697407046;11.9;31708.84052847122;13.8;37691.569976512306;17.4;43768.09283344445;13.7;46961.66298505637;11.4;49695.861955059736;11.1;50554.68476710231;20.2;51272.961755846816;14.5;52111.02775846458;19.8;53016.024905917264;18.5;56827.819746095185;10.2;56849.476855398614;25.6;57191.02150828973;14.6;62692.14024713628;23.6;63008.09772195353;12.5;63787.73011239332;15.4;65803.94249993378;14.8;66393.42390732939;18.4;67551.02146644457;19.2;68215.06741166403;9.0;70756.67787650111;35.1;72505.24187724254;6.2;73864.16820937247;34.5;75368.99283616414;29.9;81027.47061207471;8.8;82635.62523039308;43.1;83959.69289495153;11.1;86115.0150788603;22.6;87734.25781656354;38.2;87827.63828127847;10.6;88182.73740927796;27.0;94552.9825193583;17.2;95876.28473747749;37.2;96733.82202676519;14.9;97842.16381305094;21.6;99228.23605739699;12.2;99512.62794090943;36.1;99659.0066294052;13.3;100941.24741901539;14.8;101438.41228727065;14.8;103878.0732527784;14.2;104310.7680991958;10.4;104912.27509814133;23.5;105018.85250593154;43.7;105228.11978479972;32.9;107418.420479095;32.3;107598.22497500856;18.7;108146.51929619876;14.8;1504828800;251
Alfter-Volmershoven;32359773.83;5615207.65;160;10.9;7256.069035784446;7.9;14366.7017342743;7.0;14373.960991410093;14.8;16510.65906111637;9.9;22667.73930590191;11.0;23667.88334655204;16.7;27510.944003930454;12.4;31652.904789672913;26.2;33703.25793095648;17.2;35426.32062205772;25.7;37445.441018346566;22.9;37590.49157638811;13.5;38972.284188392936;19.6;39483.01786293611;16.4;40940.20360405772;17.1;41810.97715265647;11.5;43289.134900803794;18.0;47042.392866890616;30.9;49793.093311441415;15.6;50724.185448556986;18.7;51299.37262359294;10.2;51842.03757555958;12.1;52383.29532988528;32.9;53016.715760341074;20.9;53061.68766132057;25.3;53839.60154078985;27.9;54512.23453979829;43.7;55513.60451381903;8.7;57943.924002607775;37.3;59588.38358041152;29.7;59609.050503555125;25.6;61761.859915797526;32.3;61919.74225225357;37.2;63448.68577417888;34.8;65670.21954814073;27.7;65710.29105457151;31.5;68794.77813827341;23.7;71563.2792357702;27.0;71591.37673351537;36.1;72090.19383016693;10.6;74261.78596373898;43.1;75479.41554173187;24.6;76189.67829972168;26.7;77000.17635686176;38.2;77504.60826859745;23.5;78267.31237048899;23.8;78942.7244390369;7.3;79602.06447870481;17.2;81523.83159368539;29.9;84808.98410218344;21.1;1504828800;251
Altenberge;32396321.9;5767489.05;65;17.4;12665.279514973603;11.9;14525.414532498982;13.7;17216.5669402858;19.8;23832.61522319513;14.5;24589.25530834858;20.9;25354.189053714468;12.5;27388.435977124747;15.4;31441.788737832583;18.5;37024.70031804286;18.4;37439.747048828285;19.2;37691.569976512306;14.1;37934.04540262412;13.8;39076.09220449375;20.2;45740.63321729506;24.6;46270.54183283634;11.1;50169.780934474016;10.6;50571.15986195733;23.6;52738.474651406505;34.5;59048.35635357437;14.9;59296.526984906886;22.6;60067.52695369526;25.6;62389.87242404543;21.6;65106.58467543412;35.1;66446.0652599988;14.2;71452.26449683496;14.6;71762.97446534857;12.5;72074.02112593832;11.4;73321.83515050016;12.2;73479.23181537799;14.8;73687.47618461387;10.4;73688.40372298262;11.1;75908.6149495415;13.3;76840.5476451351;22.1;77636.30117606137;11.8;79763.7319516318;24.2;80171.29892848669;29.9;80222.74294974629;38.2;80896.11760172779;27.0;80904.75199908191;14.8;84042.38275407025;12.4;84666.63901894017;10.2;85865.76121918441;7.7;85945.90602008619;43.1;86853.08011752517;17.4;87117.58817033027;7.3;87314.97846507771;12.3;87879.1814664113;14.8;88941.98990508859;36.1;89099.62812573649;27.1;89594.82972172953;3.7;1504828800;251
Arnsberg-Holzen;32424387.54;5696959.64;265;13.3;6729.07280407342;12.2;13337.693536084487;14.8;14753.987344395919;14.8;17601.982693969476;22.6;21408.93421562421;23.3;23248.386418472623;10.4;23542.868023851133;21.1;24649.662263040987;7.3;25819.074824216;34.5;26488.80466140695;10.7;26962.123735314384;23.5;32876.505898592986;13.4;33707.69293294603;10.4;33938.6522710971;23.8;36338.78459563643;36.1;37259.38994470179;3.7;39371.963733959776;18.4;40408.94441495954;23.6;40912.71631486681;38.2;41090.825468770614;11.8;41591.481514514;34.8;42295.42736034248;11.8;44378.842461033084;32.3;44860.38188127384;21.6;45178.160634318425;35.1;47290.04357444642;18.5;48159.75442465914;17.9;48539.86137249248;24.6;48928.328996051016;37.3;49974.06062987531;25.6;50114.88914663644;20.2;51232.645364129494;25.3;51283.17790041082;5.7;51825.610123880724;22.4;53699.20943840408;27.7;56436.76770365414;12.4;56612.59031127582;6.0;57738.49563335186;12.8;57924.797329493136;17.0;58809.65161389207;43.7;60232.598791493474;37.2;60762.079564546475;24.2;61381.25955559093;25.6;61683.06351361657;1.8;62380.59740425349;14.3;62710.853246672275;11.2;63126.9248895721;27.9;63154.300802667625;10.6;64548.780316670585;43.1;65029.656204210456;32.9;1504828800;251
Arnsberg-Neheim;32429004.21;5701854.08;159;12.2;6729.07280407342;13.3;6792.854541721095;14.8;14027.30272806934;22.6;16682.505750684813;10.4;20353.926279959232;7.3;21005.537726774462;14.8;24661.158063079583;10.7;24719.373115890518;23.3;26281.39247833004;34.5;29272.50113189855;21.1;31896.257418874964;3.7;33687.919417360645;23.5;34399.60953139489;10.4;34531.523466579434;11.8;36338.705003565716;18.4;36925.61538475594;13.4;38246.657453593296;21.6;39414.548148585614;23.8;40292.787993468184;11.8;42428.9823371254;23.6;42837.55005708532;36.1;46302.12077985874;18.5;46628.71687796932;38.2;47032.096031488116;5.7;47542.05166243522;17.9;48148.926508188895;34.8;49231.75817042621;35.1;49882.534769978585;12.4;50860.95915566173;20.2;51051.16284073502;32.3;52760.91545985044;6.0;53355.407618880665;24.6;54067.086582542746;24.2;54228.57257184576;22.4;55584.22648940877;37.3;56155.1466883425;25.6;56251.290619934625;1.8;57955.10863324077;25.3;59099.02814027487;12.8;59136.57871584022;10.6;59173.295564331835;27.7;59909.77335250145;17.0;60842.83324297183;14.3;61272.31396378628;12.5;62130.578405781926;11.1;64571.15429144912;25.6;65215.11465901504;14.9;65266.62505224459;43.7;65918.45162549513;11.2;66198.85627582335;3.5;1504828800;251
Attendorn-Neulisternohl;32421653.35;5663131.32;298;23.8;10502.740799324436;21.1;10990.094443018908;13.4;15739.283270775439;24.6;17832.42170493299;34.8;18557.900448191147;23.3;18901.022670746253;25.6;19778.117145545813;27.7;19802.32287257486;14.8;22118.278471368725;23.5;29158.330210942182;10.4;30062.95276583916;27.9;30134.150846773882;10.6;30246.880766682534;22.4;31112.42380923588;25.3;32462.564091095366;32.3;32546.51307368121;36.1;33938.6522710971;13.3;35247.990104695564;11.2;36193.23892423957;37.3;36934.64253493387;10.7;37139.30334949304;17.0;39414.548148585614;12.2;40172.6455620259;12.8;41345.12051293803;17.1;42591.75938918778;10.5;43189.22260019501;17.9;43447.57974680074;7.3;43969.064981371965;14.8;44406.779291999446;7.3;44847.7220630911;38.2;45561.26342787856;22.9;45852.84869305838;11.8;46639.76383132998;26.2;48725.80965146396;43.7;51385.89627913133;22.6;52153.73523898387;10.4;54731.716901017986;34.5;55008.05286908767;12.4;55204.16170631698;32.9;55620.05631944968;37.2;56773.58235060037;30.9;57415.07898139126;3.7;57864.783602660675;16.7;58526.01963807577;14.3;58818.65753341335;35.1;63051.30962605384;23.6;63182.47257636414;5.7;64160.21552179685;14.8;64808.569148280505;25.7;65527.573003850586;6.0;1504828800;251
Bedburg-Weiler Hohenholz;32325857.06;5654415.38;101;12.1;14696.832390094914;31.5;15348.721056985156;8.7;16965.967962850373;23.7;19417.389682996003;19.6;24254.886664151378;10.2;25943.974371722445;18.7;29128.49692634169;26.7;31001.979569310766;17.2;32438.7891421777;25.7;35873.788815062035;27.0;38456.153193439495;11.5;38589.78665676743;14.8;38806.551418225376;9.9;39759.28473603015;30.9;42680.9181483742;32.9;42899.92365192377;26.6;43441.85612442666;15.6;45255.22245227639;17.2;47363.403405264406;37.2;47999.07629113996;16.7;49125.079108904814;43.1;49243.53861134138;43.7;51842.03757555958;10.9;52868.15107330149;7.9;53496.99896277989;22.9;53524.950015482376;29.9;54642.929473184864;11.0;56433.7368077333;14.8;56580.95313317457;8.8;56851.30823930048;14.8;57127.22877358188;16.4;59195.57080559289;29.7;61133.34169233855;37.3;62995.19339047407;26.2;63783.57651249825;7.0;65192.74984162687;25.3;65203.972778931326;14.6;65594.35149079468;32.3;67196.125533773;18.0;67597.72236118282;38.2;67845.74664805598;20.9;69642.05458458769;12.4;71391.28879009075;36.1;71839.75995534008;13.5;73204.40818927914;25.6;73642.77509224671;35.1;75554.08537808187;11.1;76344.17025705808;10.2;76791.86278175085;17.1;78382.52031173509;34.8;1504828800;251
Berleburg, Bad-Arfeld;32460142.46;5651624.33;436;12.8;5643.317827591295;17.0;10480.464064392469;22.4;14955.106224527355;10.5;18841.445946468484;17.9;18857.66225272446;11.2;24841.831489093838;10.4;26041.853802141493;14.3;29980.577230208368;11.8;30778.29816547553;13.4;32785.76479719288;24.6;35460.7971857115;10.6;35979.0468227774;7.3;37255.980279514704;23.3;37714.97893738244;10.7;40172.6455620259;23.8;41909.289203038265;27.7;44681.4268756268;21.1;44856.243232036395;6.0;46937.86241644621;5.7;47800.91867339124;7.3;50850.12697153374;14.8;51714.644535995496;25.6;53019.24525385602;27.9;53581.67103563723;3.7;56888.27631121399;34.8;57738.49563335186;13.3;59015.33061374862;14.8;59099.02814027487;12.2;60886.91824978165;23.5;61392.10277068715;10.4;63490.433476456914;1.8;65832.26017294348;17.1;68868.068832971;11.8;69507.19909715012;25.3;72188.01865562139;1.5;72340.81153127359;36.1;72540.71361212464;32.3;73060.77887782827;22.6;74354.90101554927;3.5;76000.76156723732;4.3;76049.76855662356;37.3;76850.98598689669;26.2;77975.2547846952;12.4;79676.22005843482;12.4;81359.72533148606;22.9;83049.09111225605;1.9;83445.4634267949;21.6;83491.57131785838;34.5;84059.98923358759;38.2;85996.89652297994;24.2;1504828800;251
Berleburg, Bad-Stünzel;32455658.52;5648202.19;610;17.0;5643.317827591295;12.8;6950.4179850851515;22.4;10821.328766547324;10.5;13281.714489786391;11.2;23444.850895505748;17.9;26433.00064776751;10.4;28157.705143004503;24.6;28691.241444762105;13.4;29880.115938839546;10.6;30576.092414727853;7.3;31675.993979134502;14.3;34153.134156104825;11.8;36836.57269567172;23.3;36933.42225920828;27.7;37139.30334949304;23.8;40041.67449393639;10.7;42780.71956201154;21.1;47211.66245484083;25.6;47749.395542280996;27.9;49715.85256616406;14.8;50013.59306391044;6.0;50350.22432599576;7.3;51743.14947802885;5.7;53167.28152230159;34.8;57225.71276520017;3.7;57924.797329493136;13.3;58541.542165503626;23.5;59909.77335250145;12.2;60455.218259048124;14.8;60469.73780292051;17.1;63661.363008237175;10.4;65476.83951143532;25.3;68435.8543518295;1.8;69160.42869522491;32.3;69626.22094153508;36.1;71733.17719608682;26.2;72301.74971281395;11.8;72478.55221769393;37.3;73935.97806896435;22.6;74228.03661829644;12.4;76771.12062942321;22.9;77726.3961850621;1.5;79451.24255557604;3.5;81351.10437284628;4.3;81664.38905294429;38.2;82082.76729160709;12.4;83443.79610355731;34.5;84836.750266427;43.7;86133.41706531875;16.7;86388.51117078062;21.6;1504828800;251
Bielefeld-Deppendorf;32462747.96;5769118.94;105;14.2;9844.846472001562;12.5;10719.40074155328;14.9;17424.140698654643;22.1;18256.839645130884;27.0;20043.203285137486;10.6;20579.50878574818;17.4;21454.84941045464;11.1;26010.096618191343;27.1;30940.05077108525;20.9;32891.29164917721;24.2;33138.47157103714;7.7;37326.10512162248;21.6;40564.04307876873;15.4;41100.513512743535;12.4;41257.10398595057;13.5;42046.30394525234;12.5;42670.833854406614;12.3;46985.72773645113;19.2;48879.965555782386;11.8;51575.34246317272;6.0;52499.55766104453;19.8;54044.007382825286;11.3;58593.450726742965;14.5;59250.174654444025;3.5;59615.959575339024;18.4;60415.372177247664;10.1;61672.118575703724;10.4;62111.269082543884;13.7;62851.17208116343;1.8;63948.73241869549;3.7;64019.62329818122;4.2;66446.0652599988;17.4;66918.30758223435;4.3;67587.90872450877;22.6;69840.6583749484;14.8;72325.20558486701;7.3;72846.25615622895;18.5;73727.26277480944;5.7;74326.89428847414;5.7;75254.26878843582;12.2;76587.14732954912;11.9;77353.97250516783;34.5;77449.33574233974;1.9;77622.42043449856;1.5;79700.29331180398;6.0;81722.16345072273;13.3;82516.17071003819;10.7;85900.89316650911;20.2;87733.38688178585;11.8;89665.44135777753;23.6;1504828800;251
